datasetID,study,entered.by,genus,species,variety,woody,crop,source.population,provenance.lat,provenance.long,provenance.altitude,continent,no.indiv.collected,year.collected,year.germination,storage.type,storage.time,storage.humidity,storage.temp,treatment,chill.temp,chill.duration,germ.temp,other.treatment,photoperiod,chemical,chemcial.concent,trt.duration,scarification,scarif.type,soaking,soaked.in,soaking.duration,seed.mass.given,respvar,response,error.type,resp.error,reps,n.per.rep,germ.duration,germ.tim.zero,figure,Notes
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3,14,3,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,10.87,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6.021,14,6,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,21.23,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9.048,14,9,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,24.898,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12.048,14,12,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,22.045,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15.048,14,15,hydro-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,46.365,NA,NA,4,50,14,unknown,figure1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,3.028,14,3,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,6.929,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,6.021,14,6,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,18.512,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,9.048,14,9,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,21.094,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,12.021,14,12,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,20.279,NA,NA,4,50,14,unknown,figure 1,
yusefi-tanha19,exp 1,JS,Vicia,villosa,NA,N,N,"Isfahan, Iran",NA,NA,NA,Asia,NA,NA,2013,in darkness,NA,NA,NA,cold strat,15.021,14,15,halo-priming,0,NA,NA,NA,N,NA,N,NA,NA,Y,germ rate,23.268,NA,NA,4,50,14,unknown,figure 1,
